finding_id,label,confidence,rater,labelled_at,notes
semgrep:php.lang.security.injection.echoed-request.echoed-request:payment-button-elementor-plugin:templates/razorpay-button-view-templates.php:32,,,,,
semgrep:php.lang.security.injection.echoed-request.echoed-request:payment-button-siteorigin-plugin:templates/razorpay-button-view-templates.php:35,,,,,
semgrep:php.lang.security.injection.echoed-request.echoed-request:payment-button-siteorigin-plugin:templates/razorpay-button-view-templates.php:65,,,,,
semgrep:php.lang.security.injection.echoed-request.echoed-request:payment-button-siteorigin-plugin:templates/razorpay-button-view-templates.php:70,,,,,
semgrep:php.lang.security.injection.echoed-request.echoed-request:payment-button-siteorigin-plugin:templates/razorpay-button-view-templates.php:77,,,,,
semgrep:php.lang.security.injection.echoed-request.echoed-request:payment-button-siteorigin-plugin:templates/razorpay-button-view-templates.php:81,,,,,
semgrep:php.lang.security.injection.echoed-request.echoed-request:payment-button-siteorigin-plugin:templates/razorpay-button-view-templates.php:120,,,,,
semgrep:php.lang.security.injection.echoed-request.echoed-request:payment-button-visual-composer:templates/razorpay-button-view-templates.php:35,,,,,
semgrep:php.lang.security.injection.echoed-request.echoed-request:payment-button-visual-composer:templates/razorpay-button-view-templates.php:65,,,,,
semgrep:php.lang.security.injection.echoed-request.echoed-request:payment-button-visual-composer:templates/razorpay-button-view-templates.php:70,,,,,
semgrep:php.lang.security.injection.echoed-request.echoed-request:payment-button-visual-composer:templates/razorpay-button-view-templates.php:77,,,,,
semgrep:php.lang.security.injection.echoed-request.echoed-request:payment-button-visual-composer:templates/razorpay-button-view-templates.php:81,,,,,
semgrep:php.lang.security.injection.echoed-request.echoed-request:payment-button-visual-composer:templates/razorpay-button-view-templates.php:120,,,,,
semgrep:php.lang.security.injection.echoed-request.echoed-request:payment-button-wordpress-plugin:templates/razorpay-button-view-templates.php:42,,,,,
semgrep:php.lang.security.injection.echoed-request.echoed-request:payment-button-wordpress-plugin:templates/razorpay-button-view-templates.php:84,,,,,
semgrep:php.lang.security.injection.echoed-request.echoed-request:payment-button-wordpress-plugin:templates/razorpay-button-view-templates.php:87,,,,,
semgrep:php.lang.security.curl-ssl-verifypeer-off.curl-ssl-verifypeer-off:razorpay-arastta:catalog/controller/payment/razorpay-sdk/libs/Requests-1.7.0/library/Requests/Transport/cURL.php:151,,,,,
semgrep:generic.html-templates.security.var-in-href.var-in-href:razorpay-opencart:admin/view/template/payment/razorpay.twig:9,,,,,
semgrep:generic.html-templates.security.var-in-href.var-in-href:razorpay-opencart:admin/view/template/payment/razorpay.twig:17,,,,,
semgrep:generic.html-templates.security.var-in-href.var-in-href:razorpay-opencart:admin/view/template/payment/razorpay_subscription/razorpay_plan_form.twig:9,,,,,
semgrep:generic.html-templates.security.var-in-href.var-in-href:razorpay-opencart:admin/view/template/payment/razorpay_subscription/razorpay_plan_form.twig:154,,,,,
semgrep:generic.html-templates.security.var-in-href.var-in-href:razorpay-opencart:admin/view/template/payment/razorpay_subscription/razorpay_plan_list.twig:12,,,,,
semgrep:generic.html-templates.security.var-in-href.var-in-href:razorpay-opencart:admin/view/template/payment/razorpay_subscription/razorpay_plan_list.twig:20,,,,,
semgrep:generic.html-templates.security.unquoted-attribute-var.unquoted-attribute-var:razorpay-opencart:admin/view/template/payment/razorpay_subscription/razorpay_plan_list.twig:91,,,,,
semgrep:generic.html-templates.security.var-in-href.var-in-href:razorpay-opencart:admin/view/template/payment/razorpay_subscription/razorpay_plan_list.twig:99,,,,,
semgrep:generic.html-templates.security.var-in-href.var-in-href:razorpay-opencart:admin/view/template/payment/razorpay_subscription/razorpay_plan_list.twig:101,,,,,
semgrep:generic.html-templates.security.var-in-href.var-in-href:razorpay-opencart:admin/view/template/payment/razorpay_subscription/razorpay_plan_list.twig:106,,,,,
semgrep:generic.html-templates.security.var-in-href.var-in-href:razorpay-opencart:admin/view/template/payment/razorpay_subscription/razorpay_plan_list.twig:108,,,,,
semgrep:generic.html-templates.security.var-in-href.var-in-href:razorpay-opencart:admin/view/template/payment/razorpay_subscription/razorpay_plan_list.twig:113,,,,,
semgrep:generic.html-templates.security.var-in-href.var-in-href:razorpay-opencart:admin/view/template/payment/razorpay_subscription/razorpay_plan_list.twig:115,,,,,
semgrep:generic.html-templates.security.var-in-href.var-in-href:razorpay-opencart:admin/view/template/payment/razorpay_subscription/razorpay_plan_list.twig:120,,,,,
